M;EF
1,030643153;-0,026553259
1,019015638;-0,02332712
1,000672519;-0,014838607
0,983741809;-0,015991925
0,991230984;-0,020005878
0,991630584;-0,020217641
0,986674023;-0,022216177
0,998012588;-0,018876587
0,994745398;-0,042563248
0,985450825;-0,025459235
0,96895727;-0,023283009
1,000553278;-0,026770311
0,989124774;-0,030540107
0,964986448;-0,031712482
1,003188245;-0,026715111
0,974764941;-0,037286721
1,032886123;-0,033075157
1,024783175;-0,011298081
0,983317245;-0,026603728
1,017321123;-0,025972621
0,958723317;-0,019736916
1,006215295;-0,025492309
1,033508159;-0,031730279
0,982618901;-0,016258296
0,942072562;-0,024764337
1,0116586;-0,032924499
0,962859837;-0,029958526
1,008006291;-0,011215514
0,995585954;-0,028604155
0,964673712;-0,037193498
0,983781197;-0,025434214
1,007904463;-0,02631612
1,006502037;-0,028001439
1,018618547;-0,022117083
0,983009066;-0,024581553
0,977479185;-0,031936877
1,025734761;-0,027328135
1,015562207;-0,019321084
0,97337005;-0,029280101
0,995663461;-0,031874307
1,021976399;-0,021899951
1,002618122;-0,032375318
1,016365032;-0,028361906
0,988934576;-0,024720439
1,023403134;-0,021532682
1,013428237;-0,022526227
0,993027559;-0,023089679
0,976463232;-0,028083319
1,011962773;-0,002683672
1,036164705;-0,026247859
0,994689337;-0,029601259
1,043669025;-0,033302384
0,95414025;-0,020636792
1,017457182;-0,029539987
0,990557592;-0,017610917
0,992101036;-0,032500398
1,021926957;-0,01751055
0,994302198;-0,020452406
0,993273118;-0,014294892
0,98815533;-0,019241925
0,989147512;-0,027944293
1,031668684;-0,022930889
0,986204832;-0,011574488
1,020455478;-0,022458496
0,983988375;-0,0258776
0,99871523;-0,02271527
1,007746098;-0,024477199
0,986629883;-0,018954993
1,033220682;-0,018934313
0,976747571;-0,026005135
1,012461126;-0,036102171
0,988807883;-0,011803808
0,98276585;-0,034951989
1,012199029;-0,03076855
1,009111217;-0,036913905
0,977415959;-0,028740881
1,000535893;-0,030369195
0,963861419;-0,032568551
0,9772818;-0,030192925
1,02392729;-0,027800223
0,986820875;-0,04149945
0,991936886;-0,036649863
1,044175792;-0,000195492
1,029477843;-0,004718891
0,996163185;0,007991026
1,014179684;-0,002671471
0,988132847;-0,019585173
1,019316565;-0,002963613
0,995711515;-0,006955066
0,983028579;-0,000471799
0,994951185;-0,008706147
1,006473146;-0,015379846
0,988101563;0,007624703
0,993610657;-0,01959357
1,005823547;-0,055507571
0,971719413;-0,013157571
1,036509547;-0,016843608
0,997729316;-0,005288809
0,965304487;0,012719402
1,013564245;-0,019771401
0,996203108;-0,007788064
0,991175015;-0,004799977
0,992422399;-0,005740939
0,99607824;-0,016821636
0,983991483;-0,11344405
1,008381029;-0,008948093
0,978230727;-0,017422676
0,9976334;-0,033785003
1,012053343;-0,010973859
0,98614096;-0,01840017
1,013550527;-0,026085043
0,996046515;-0,017738272
0,980482254;-0,02073785
0,99967962;-0,033633744
1,020932395;-0,03135266
0,992851438;-0,013586025
1,014621358;-0,030047612
1,010828525;-0,018328527
0,988178972;-0,026152228
0,999272105;-0,00212144
1,016656361;-0,019062394
0,997036853;-0,027870635
0,993144944;-0,018774799
1,024916149;-0,007341876
0,974616385;-0,011813621
1,009681388;-0,006600762
0,980524872;-0,010808671
0,981545705;-0,010586297
1,032133947;-0,018611842
0,976393631;-0,011593475
1,01518265;-0,003592585
1,007363133;-0,022791615
0,972424481;-0,021495901
1,034632273;0,006330243
0,988170194;0,003072433
0,971968829;0,004761592
1,023425288;-0,021236607
0,996635071;-0,006474466
0,993031991;-0,008712778
1,016494241;-0,006658095
1,005806236;0,003073051
0,98309973;-0,001056932
1,027310655;-0,085363051
0,996344277;-0,016723437
1,007120203;0,007849405
0,997969024;-0,006340384
1,02154612;-0,001523495
0,978990834;-0,005397297
1,007992215;0,015080455
1,038438389;0,00284376
0,98592191;0,00346437
1,011089132;0,013174371
0,999227486;0,021230673
1,016515096;0,00420077
1,034804328;-0,003887423
1,009700666;0,000535074
1,000805872;0,015581527
1,042094739;-0,000487306
0,997134323;0,005013298
1,019091503;0,01372435
1,042244725;0,006422
0,998869968;0,016162524
1,015610928;0,011646063
1,039144978;0,007848947
1,011766309;0,000457713
0,99197919;0,037228938
1,017566404;0,022528434
1,018828902;0,085542894
1,044454989;0,019016628
0,989746543;0,033798941
0,992194257;0,023969017
1,011030193;0,023022487
1,009936305;0,021749823
0,962035136;0,018101314
1,025869683;0,030456246
0,995413857;0,038078072
1,034192446;0,034296148
1,022601385;-0,051100768
0,998211162;0,050825381
0,984467797;0,061946139
0,993772241;0,017246931
1,01814732;0,03112148
0,996706708;0,028262967
1,03477425;0,021238823
0,973005286;0,036989803
1,001260753;0,032116683
1,014656009;0,030195316
0,996595047;0,017878397
1,02754738;0,025511368
1,00723989;0,018444857
0,990482198;-0,023347796
0,987349721;-0,005758254
