PIBR01L;IPCA;SELIC;DGCL;RLGCL;TCR
11,61519306;0,5200;1,2676;9,8228;10,1056;0,3523
11,60717253;0,3600;1,0844;9,7016;9,8453;1,7852
11,66779953;0,6000;1,3791;9,7583;9,8680;-3,0454
11,68405576;0,8000;1,1819;9,7383;10,0293;-1,3548
11,71001951;0,2100;1,2278;9,7928;9,8902;6,6677
11,70898217;0,4200;1,2299;9,7502;9,8485;9,0203
11,73641066;1,1900;1,2869;9,9697;10,0498;6,9807
11,74382067;0,6500;1,2936;9,8406;9,9088;5,6433
11,72276887;0,7200;1,2513;9,7920;10,1205;6,8655
11,78464488;1,3100;1,2132;9,9546;10,1205;12,5977
11,80576261;3,0200;1,2510;9,9358;9,9844;-8,7866
11,76274146;2,1000;1,4828;10,3922;10,2889;-0,9202
11,70061001;2,2500;1,3839;9,9034;10,2099;-6,8503
11,73307143;1,5700;1,2182;9,8072;9,9987;3,6079
11,78727109;1,2300;1,5282;9,7675;9,9797;-4,6003
11,80653485;0,9700;1,4115;9,7978;10,2280;-10,5889
11,793849;0,6100;1,5031;9,8635;10,0407;-5,9476
11,78223212;-0,1500;1,5856;9,9141;9,9510;-2,2050
11,83843149;0,2000;1,5113;10,0395;10,1551;-0,2056
11,83051371;0,3400;1,6585;9,9409;10,0541;4,2984
11,85601383;0,7800;1,5031;9,9118;10,0829;-3,0926
11,8979732;0,2900;1,4072;10,0463;10,2183;-2,4884
11,8896671;0,3400;1,3810;10,0023;10,1039;1,2111
11,89068842;0,5200;1,4736;10,5476;10,3775;-0,2350
11,8858851;0,7600;1,4293;10,0042;10,2875;-2,7700
11,87407437;0,6100;1,1451;9,9571;10,1419;2,6801
11,97075856;0,4700;1,4223;10,0173;10,2455;-0,6793
11,96815227;0,3700;1,0779;10,0206;10,2960;-0,0288
11,98423717;0,5100;1,2814;10,0239;10,1784;6,7699
12,02021741;0,7100;1,1844;10,0756;10,2893;0,5329
12,05603036;0,9100;1,1700;10,1902;10,3176;-3,9788
12,04315688;0,6900;1,2563;10,0959;10,2294;-1,7399
12,01634096;0,3300;1,0573;10,1202;10,2937;-3,8330
12,05114949;0,4400;1,0942;10,1508;10,3206;-1,2423
12,08790627;0,6900;1,0206;10,1521;10,2184;-2,9577
12,09657808;0,8600;0,9879;10,6964;10,6316;-3,6265
12,01223262;0,5800;1,0828;10,1595;10,4403;-1,2890
11,99472363;0,5900;0,8725;10,1924;10,2652;-3,5445
12,08263508;0,6100;1,0522;10,1573;10,3844;4,2886
12,09233492;0,8700;0,9448;10,0763;10,5047;-4,8299
12,09412642;0,4900;1,0281;10,1819;10,2820;-5,4562
12,11301818;-0,0200;0,9056;10,2555;10,4401;-1,5324
12,13051062;0,2500;0,9726;10,2822;10,4331;-1,4470
12,14760086;0,1700;0,9926;10,2731;10,3959;-0,2032
12,11664435;0,3500;0,8050;10,2647;10,3573;-1,9617
12,1578892;0,7500;0,9295;10,2893;10,4708;-2,1897
12,18711956;0,5500;0,8447;10,3250;10,3661;-3,3388
12,20586274;0,3600;0,8447;10,8440;10,7625;2,5856
12,14474103;0,5900;0,9294;10,4063;10,5220;-0,3406
12,10582576;0,4100;0,8022;10,2255;10,3484;-5,1167
12,16953553;0,4300;0,8446;10,2272;10,4612;-0,3396
12,1418581;0,2100;0,9014;10,2005;10,6359;-0,4234
12,20896886;0,1000;0,8768;10,3354;10,4183;2,6963
12,21500295;-0,2100;0,9556;10,3482;10,5255;3,6454
12,253932;0,1900;1,0697;10,4473;10,5315;-2,5234
12,26757737;0,0500;1,0177;10,3509;10,5336;-1,3793
12,22491738;0,2100;1,1031;10,5344;10,5443;-0,1013
12,28858172;0,3300;1,1759;10,4201;10,6060;-1,8058
12,31371001;0,3100;1,0200;10,4523;10,4426;-0,0103
12,32112406;0,4800;1,1241;10,9157;10,8045;-0,7026
12,2769098;0,4400;1,0478;10,3803;10,6868;-0,6660
12,23617971;0,4400;0,8551;10,3299;10,4381;-1,8856
12,30703993;0,3700;0,9709;10,5244;10,6232;0,1815
12,29566934;0,2500;0,8396;10,3812;10,7438;-2,3234
12,34734469;0,2800;0,7709;10,4522;10,5678;-2,1604
12,35810465;0,2800;0,7622;10,4794;10,6158;-2,5984
12,37900155;0,2400;0,7901;10,5520;10,6786;-2,7937
12,38409921;0,4700;0,6937;10,5145;10,6093;3,7456
12,3316163;0,1800;0,6937;10,6367;10,6377;-3,2925
12,41311971;0,3000;0,6937;10,5144;10,7520;-5,2712
12,41311557;0,3800;0,6600;10,5667;10,6765;-1,5120
12,41527;0,7400;0,7300;11,0647;10,9299;0,1007
12,37179112;0,5400;0,6600;10,5696;10,9022;-0,7040
12,35235222;0,4900;0,5900;10,4217;10,5661;-2,8105
12,39213802;0,4800;0,7600;10,4778;10,7391;-0,7946
12,41931082;0,5500;0,6700;10,5020;10,8801;-1,0373
12,44370244;0,7900;0,7500;10,5345;10,6722;-1,6319
12,48539742;0,7400;0,7900;10,5710;10,7560;-2,2525
12,53065132;0,5300;0,8600;10,7497;10,8934;-1,6973
12,49827321;0,2800;0,8900;10,6009;10,7459;0,6317
12,48343908;0,2600;0,8500;10,7050;10,8340;11,1731
12,53934031;0,4500;0,8100;10,6354;10,9411;18,9837
12,50369314;0,3600;0,8100;10,7550;10,6560;1,9403
12,48016764;0,2800;0,9073;11,0311;10,9333;4,2619
12,43749051;0,4800;0,8623;10,7830;10,8623;-3,6710
12,41356066;0,5500;0,8439;10,5608;10,5316;0,1751
12,4853298;0,2000;0,9205;10,6287;10,7775;0,0925
12,4752934;0,4800;0,8402;10,6834;10,8904;-4,8896
12,50848723;0,4700;0,9880;10,7154;10,7073;-6,7394
12,5356097;0,3600;0,9563;10,7399;10,7265;-4,5397
12,57033859;0,2400;0,9679;10,8396;10,8688;-1,6620
12,56611239;0,1500;1,0741;10,7733;10,8417;-4,4535
12,56229672;0,2400;0,9418;10,8845;10,7261;-1,5494
12,62637429;0,2800;0,8820;10,7909;10,9990;-4,6557
12,63676379;0,4100;0,8605;10,8478;11,0362;-1,0316
12,66416411;0,3700;0,9073;11,0668;11,0964;0,8478
12,57233386;0,7500;0,8910;10,8255;11,0682;1,2679
12,56102481;0,7800;0,7488;10,7270;10,7007;2,6946
