PIBR01L;DGCL;RLGCL;IPCA;SELIC;TCR;DP
11,61519306;9,822837135;10,10561487;0,5200;1,2676;0,3523;0,437152102
11,60717253;9,701612626;9,845308463;0,3600;1,0844;1,7852;0,514053652
11,66779953;9,758344469;9,868003836;0,6000;1,3791;-3,0454;0,538531462
11,68405576;9,738313164;10,02928879;0,8000;1,1819;-1,3548;0,375832912
11,71001951;9,79282126;9,890202487;0,2100;1,2278;6,6677;0,542549282
11,70898217;9,750175349;9,848450649;0,4200;1,2299;9,0203;0,529534343
11,73641066;9,969689856;10,04975793;1,1900;1,2869;6,9807;0,542180392
11,74382067;9,840647941;9,908773561;0,6500;1,2936;5,6433;0,570484996
11,72276887;9,791999496;10,12046493;0,7200;1,2513;6,8655;0,321344292
11,78464488;9,954634766;10,12048572;1,3100;1,2132;12,5977;0,435361267
11,80576261;9,935845826;9,984380576;3,0200;1,2510;-8,7866;0,556125656
11,76274146;10,39218542;10,28892597;2,1000;1,4828;-0,9202;0,747084321
11,70061001;9,903427124;10,20987334;2,2500;1,3839;-6,8503;0,348741659
11,73307143;9,807228481;9,998704436;1,5700;1,2182;3,6079;0,404089436
11,78727109;9,767468554;9,979713718;1,2300;1,5282;-4,6003;0,377752835
11,80653485;9,797845747;10,22798325;0,9700;1,4115;-10,5889;0,229190026
11,793849;9,86354147;10,04070075;0,6100;1,5031;-5,9476;0,428376918
11,78223212;9,914093438;9,951021605;-0,1500;1,5856;-2,2050;0,531899872
11,83843149;10,03952513;10,15511914;0,2000;1,5113;-0,2056;0,471002418
11,83051371;9,94089995;10,05405756;0,3400;1,6585;4,2984;0,465999762
11,85601383;9,911774332;10,08290887;0,7800;1,5031;-3,0926;0,396095655
11,8979732;10,04634151;10,21825167;0,2900;1,4072;-2,4884;0,406273704
11,8896671;10,00230217;10,1039477;0,3400;1,3810;1,2111;0,472840503
11,89068842;10,54759409;10,37747068;0,5200;1,4736;-0,2350;0,763112395
11,8858851;10,00421683;10,28747556;0,7600;1,4293;-2,7700;0,341731968
11,87407437;9,957114126;10,14190548;0,6100;1,1451;2,6801;0,368299669
11,97075856;10,01734124;10,2455387;0,4700;1,4223;-0,6793;0,339493927
